question,answer,description,type
If the cost price of an item is Rs 500 and the profit is 15 percent find the selling price,Rs 575,Selling Price equals Cost Price plus Profit percent of Cost Price equals 500 plus 15 percent of 500 equals 575,Quantitative
A and B can complete a work in 12 and 18 days respectively How many days will they take together,7 point 2 days,Work per day equals 1 divided by 12 plus 1 divided by 18 equals 5 divided by 36 Total days equals 36 divided by 5 equals 7 point 2,Quantitative
Find the missing number in the sequence 2 6 12 20 ?,30,Pattern follows n squared plus n for n equals 1 2 3 etc so missing number is 5 squared plus 5 equals 30,Quantitative
A man walks at 5 km per hr and reaches his destination in 2 hours If he walks at 10 km per hr how long will he take,1 hour,Time equals Distance divided by Speed Since distance is 10 km  time equals 10 divided by 10 equals 1 hour,Quantitative
The perimeter of a square is 48 cm Find its area,144 square cm,Side equals Perimeter divided by 4 equals 48 divided by 4 equals 12 Area equals Side squared equals 12 squared equals 144,Quantitative
If a number is decreased by 20 percent and then increased by 25 percent what is the final percentage change,0 percent,Net effect equals minus 20 plus 25 minus 20 multiplied by 25 divided by 100 equals 0 percent,Quantitative
A shopkeeper gives two successive discounts of 10 percent and 20 percent Find the effective discount,28 percent,Effective discount equals 10 plus 20 minus 10 multiplied by 20 divided by 100 equals 28 percent,Quantitative
A boat travels 30 km downstream in 2 hours and returns in 3 hours Find the speed of the boat in still water,11 km per hr,Speed downstream equals 15 km per hr Speed upstream equals 10 km per hr Still water speed equals 15 plus 10 divided by 2 equals 11,Quantitative
A number when divided by 7 gives a remainder of 5 What is the remainder when the square of the number is divided by 7,4,Let the number be 7k plus 5 Square is 49k squared plus 70k plus 25 Remainder when divided by 7 is 4,Quantitative
The present age of A is twice that of B Ten years ago A was three times B Find their present ages,A is 40 and B is 20,Solving 2B minus 10 equals 3 multiplied by B minus 10 gives B equals 20 and A equals 40,Quantitative
A sum triples in 8 years at simple interest Find the rate of interest,25 percent,Since SI equals 2P  3P equals P plus P multiplied by Rate multiplied by 8 divided by 100 Solving Rate equals 25 percent,Quantitative
If x squared minus 9x plus 20 equals 0 find x,4 or 5,Factoring x minus 4 multiplied by x minus 5 equals 0 gives x equals 4 or x equals 5,Quantitative
A wire of length 88 cm is bent to form a circle Find the radius,14 cm,Circumference equals 2 multiplied by pi multiplied by r Solving r equals 14 cm,Quantitative
The HCF of 36 and 48 is,12,HCF is the highest common factor HCF of 36 and 48 equals 12,Quantitative
A bag contains 5 red balls and 7 blue balls What is the probability of picking a red ball,5 divided by 12,Probability equals Favorable outcomes divided by Total outcomes equals 5 divided by 12,Quantitative
The difference between the squares of two consecutive numbers is 31 Find the numbers,15 and 16,Using formula a squared minus b squared equals a plus b multiplied by a minus b solving gives 15 and 16,Quantitative
A cone has a base radius of 7 cm and height 24 cm Find its volume,1232 cubic cm,Volume equals 1 divided by 3 multiplied by pi multiplied by r squared multiplied by h equals 1 divided by 3 multiplied by 22 divided by 7 multiplied by 7 squared multiplied by 24 equals 1232,Quantitative
The ratio of milk to water in a mixture is 4 is to 1 If 10 liters of water is added the new ratio becomes 2 is to 1 Find the initial quantity of milk,40 liters,Let initial milk be 4x and water be x Given 10 is added solving gives x equals 10 so initial milk equals 40,Quantitative
If a person sells an item at Rs 360 with 20 percent loss find the cost price,Rs 450,Cost Price equals Selling Price divided by 1 minus Loss percent equals 360 divided by 0 point 8 equals 450,Quantitative
The speed of a boat in still water is 8 km per hr and the speed of the current is 2 km per hr Find the speed downstream,10 km per hr,Speed downstream equals Boat speed plus Current speed equals 8 plus 2 equals 10 km per hr,Quantitative
A number is divided by 13 gives a remainder of 7 Find the remainder when the square of the number is divided by 13,10,Let the number be 13k plus 7 Squaring and dividing gives remainder 10,Quantitative
A shopkeeper marks an article at Rs 500 and allows a discount of 20 percent Find the selling price,Rs 400,Selling Price equals Marked Price minus Discount equals 500 minus 20 percent of 500 equals 400,Quantitative
What is the value of 13 squared,169,13 squared equals 169,Quantitative
A shopkeeper marks an item at Rs 800 and allows a discount of 10 percent Find the selling price,Rs 720,Selling Price equals Marked Price minus Discount equals 800 minus 10 percent of 800 equals 720,Quantitative
The sum of interior angles of a hexagon is,720 degrees,Sum of interior angles of an n-sided polygon equals (n minus 2) multiplied by 180 Hexagon has 6 sides so 6 minus 2 multiplied by 180 equals 720 degrees,Quantitative
What is the largest two-digit prime number,97,The largest two-digit prime number is 97,Quantitative
A train moving at 90 km per hr crosses a pole in 10 seconds Find the length of the train,250 meters,Speed equals Distance divided by Time Distance equals 90 multiplied by 5 divided by 18 multiplied by 10 equals 250 meters,Quantitative
A man walks 5 km towards the north then turns east and walks 12 km How far is he from the starting point,13 km,Using Pythagoras theorem sqrt of 5 squared plus 12 squared equals sqrt of 25 plus 144 equals sqrt of 169 equals 13 km,Quantitative
The product of two consecutive even numbers is 168 Find the numbers,12 and 14,Let the numbers be x and x plus 2 x multiplied by x plus 2 equals 168 Solving x equals 12 so numbers are 12 and 14,Quantitative
A shopkeeper gains 20 percent on selling an item for Rs 600 Find the cost price,Rs 500,Cost Price equals Selling Price divided by 1 plus Gain Percent equals 600 divided by 1 point 2 equals 500,Quantitative
The speed of a boat in still water is 12 km per hr and the speed of the stream is 3 km per hr Find the speed downstream,15 km per hr,Speed downstream equals Boat Speed plus Stream Speed equals 12 plus 3 equals 15 km per hr,Quantitative
A man saves Rs 50 in the first month and increases his savings by Rs 5 every month How much will he save in 10 months,950,Sum of arithmetic series S equals n divided by 2 multiplied by 2a plus (n minus 1) d Substituting values gives 950,Quantitative
Find the smallest number which when divided by 7 leaves a remainder of 3,3,Smallest such number is the remainder itself so 3,Quantitative
What is the remainder when 2345 is divided by 7,4,Dividing 2345 by 7 gives remainder 4,Quantitative
The sum of three consecutive odd numbers is 57 Find the numbers,17 19 21,Let the numbers be x  x plus 2  x plus 4 x plus x plus 2 plus x plus 4 equals 57 Solving x equals 17 so numbers are 17 19 21,Quantitative
A man travels half distance at 40 km per hr and the rest at 60 km per hr Find the average speed,48 km per hr,Average speed equals 2 multiplied by Speed1 multiplied by Speed2 divided by Speed1 plus Speed2 Substituting values gives 48 km per hr,Quantitative
If 6 men can complete a work in 9 days how many men are required to complete it in 3 days,18 men,Men required equals 6 multiplied by 9 divided by 3 equals 18,Quantitative
What is the compound interest on Rs 5000 at 8 percent per annum for 2 years,Rs 832,CI equals Principal multiplied by (1 plus Rate divided by 100) to the power Time minus Principal Substituting values gives Rs 832,Quantitative
Find the greatest number that divides 105 and 150 leaving remainder 3,15,Required number equals HCF of 105 minus 3 and 150 minus 3 HCF of 102 and 147 equals 15,Quantitative
A mixture contains milk and water in the ratio 3 is to 2 If 10 liters of water is added the ratio becomes 3 is to 4 Find the quantity of milk,30 liters,Let milk be 3x and water be 2x Adding 10 to water 3x divided by 2x plus 10 equals 3 divided by 4 Solving x equals 10 so milk equals 30 liters,Quantitative
What is the sum of all two-digit prime numbers,1060,Sum of all two-digit prime numbers equals 1060,Quantitative
The perimeter of an equilateral triangle is 36 cm Find its side,12 cm,Perimeter equals 3 multiplied by Side Solving Side equals 12 cm,Quantitative
The sum of squares of first 5 natural numbers is,55,Sum equals n multiplied by n plus 1 multiplied by 2n plus 1 divided by 6 equals 5 multiplied by 6 multiplied by 11 divided by 6 equals 55,Quantitative
What is the sum of the angles in a triangle,180 degrees,Sum of interior angles of a triangle is always 180 degrees,Quantitative
If 3x + 5 = 20 what is the value of x,5,Solving for x 3x equals 15 so x equals 5,Quantitative
A shopkeeper gives 10 percent discount on Rs 200 Find the selling price,Rs 180,Selling Price equals Cost Price minus Discount equals 200 minus 20 equals 180,Quantitative
The perimeter of a square is 48 cm What is its side length,12 cm,Perimeter of square equals 4 multiplied by side Solving side equals 12 cm,Quantitative
A train 150 meters long crosses a pole in 15 seconds What is its speed,10 meters per second,Speed equals Distance divided by Time equals 150 divided by 15 equals 10 meters per second,Quantitative
The HCF of 24 and 36 is,12,HCF is the highest common factor HCF of 24 and 36 equals 12,Quantitative
A person spends 30 percent of his income If he earns Rs 10000 what is his saving,Rs 7000,Saving equals Income minus Expenditure equals 10000 minus 3000 equals 7000,Quantitative
What is the square of 15,225,15 squared equals 225,Quantitative
A car covers 300 km in 5 hours What is its average speed,60 km per hr,Speed equals Distance divided by Time equals 300 divided by 5 equals 60 km per hr,Quantitative
A batsman scores 80 runs in 50 balls What is his strike rate,160,Strike Rate equals Runs divided by Balls multiplied by 100 equals 80 divided by 50 multiplied by 100 equals 160,Quantitative
If a box contains 8 red balls and 12 blue balls what is the probability of picking a red ball,2 divided by 5,Total balls equals 20 Probability equals Favorable divided by Total equals 8 divided by 20 equals 2 divided by 5,Quantitative
A student scores 75 out of 100 in an exam What is his percentage,75 percent,Percentage equals Marks obtained divided by Total Marks multiplied by 100 equals 75 percent,Quantitative
A sum of money triples itself in 8 years at simple interest Find the rate of interest,25 percent,Simple Interest equals Principal multiplied by Rate multiplied by Time divided by 100 Since final amount equals 3P solving Rate equals 25 percent,Quantitative
If 5 men can complete a work in 15 days how many days will 10 men take,7 point 5 days,Total work equals 5 multiplied by 15 Days for 10 men equals 5 multiplied by 15 divided by 10 equals 7 point 5,Quantitative
The product of two consecutive even numbers is 168 Find the numbers,12 and 14,Let numbers be x and x plus 2 x multiplied by x plus 2 equals 168 Solving x equals 12,Quantitative
A person walks 5 km north then 3 km east How far is he from the starting point,5 point 83 km,Using Pythagoras Theorem Distance equals sqrt of 5 squared plus 3 squared equals 5 point 83 km,Quantitative
What is 40 percent of 250,100,40 divided by 100 multiplied by 250 equals 100,Quantitative
A wire is bent to form a circle with radius 7 cm What is its length,44 cm,Circumference equals 2 multiplied by pi multiplied by r equals 2 multiplied by 22 divided by 7 multiplied by 7 equals 44 cm,Quantitative
The ratio of two numbers is 3 is to 4 and their sum is 28 Find the numbers,12 and 16,Let numbers be 3x and 4x 3x plus 4x equals 28 Solving x equals 4 Numbers are 12 and 16,Quantitative
What is 30 percent of 250,75,30 percent of 250 is calculated as 30 by 100 multiplied by 250 equals 75,Quantitative
If the sum of two numbers is 50 and their difference is 8 what are the numbers,29 and 21,Let the numbers be x and y x plus y equals 50 and x minus y equals 8 Solving x equals 29 and y equals 21,Quantitative
A train moving at 72 km per hr crosses a 150 meter platform in 12 seconds Find the length of the train,540 meters,Speed equals Distance divided by Time Total distance equals 72 multiplied by 5 divided by 18 multiplied by 12 equals 540 meters,Quantitative
A worker can complete a task in 15 days Another worker can complete it in 30 days How long will it take if they work together,10 days,Work done per day equals 1 divided by 15 plus 1 divided by 30 equals 3 divided by 30 Total days equals 30 divided by 3 equals 10,Quantitative
The average of 6 numbers is 25 If one number is removed and the new average is 22 find the removed number,43,Sum of 6 numbers equals 150 Sum of 5 numbers equals 110 Removed number equals 150 minus 110 equals 43,Quantitative
The simple interest on Rs 1500 at 6 percent per annum for 3 years is,Rs 270,SI equals Principal multiplied by Rate multiplied by Time divided by 100 equals 1500 multiplied by 6 multiplied by 3 divided by 100 equals 270,Quantitative
The area of a circle is 314 square cm Find its radius,10 cm,Area equals pi r squared 314 equals 22 divided by 7 multiplied by r squared Solving r squared equals 100 so r equals 10 cm,Quantitative
A sum of money doubles in 4 years at simple interest What is the rate of interest,25 percent,SI equals Principal multiplied by Rate multiplied by Time divided by 100 Since SI equals Principal  2P equals P plus P multiplied by Rate multiplied by Time divided by 100 Solving Rate equals 25 percent,Quantitative
The LCM of 16 and 24 is,48,LCM is the least common multiple LCM of 16 and 24 equals 48,Quantitative
If 10 men can complete a work in 15 days how many days will 8 men take,18.75 days,Total work equals 10 multiplied by 15 Days for 8 men equals 10 multiplied by 15 divided by 8 equals 18.75 days,Quantitative
What is the probability of getting a 3 when rolling a fair six-sided die,1 divided by 6,Probability equals Favorable outcomes divided by Total outcomes equals 1 divided by 6,Quantitative
A man bought an article for Rs 700 and sold it for Rs 840 What is the profit percentage,20 percent,Profit percent equals Selling Price minus Cost Price divided by Cost Price multiplied by 100 equals 840 minus 700 divided by 700 multiplied by 100 equals 20 percent,Quantitative
The ratio of ages of A and B is 5 is to 7 If A is 25 years old how old is B,35 years,Age of B equals 25 multiplied by 7 divided by 5 equals 35 years,Quantitative
A car covers 300 km in 5 hours What is its speed,60 km per hr,Speed equals Distance divided by Time equals 300 divided by 5 equals 60 km per hr,Quantitative
A number is increased by 15 percent and then decreased by 10 percent What is the final percentage change,3.5 percent increase,Net effect equals 15 minus 10 minus 15 multiplied by 10 divided by 100 equals 3.5 percent increase,Quantitative
The perimeter of a rectangle is 50 cm If its length is 18 cm what is its breadth,7 cm,Perimeter equals 2 multiplied by length plus breadth Solving breadth equals 7 cm,Quantitative
The sum of the first 12 natural numbers is,78,Sum equals n multiplied by n plus 1 divided by 2 equals 12 multiplied by 13 divided by 2 equals 78,Quantitative
The square root of 324 is,18,Square root of 324 equals 18,Quantitative
If a is to b equals 3 is to 4 and b is to c equals 5 is to 6 find a is to c,15 is to 24,a is to c equals 3 multiplied by 5 divided by 4 multiplied by 6 equals 15 is to 24,Quantitative
The cost price of an item is Rs 900 If the loss is 15 percent find the selling price,Rs 765,Selling Price equals Cost Price minus 15 percent of Cost Price equals 900 minus 135 equals 765,Quantitative
A pipe fills a tank in 8 hours while another pipe empties it in 16 hours How long will it take to fill the tank,16 hours,Net rate equals 1 divided by 8 minus 1 divided by 16 equals 1 divided by 16 Time equals 16 hours,Quantitative
What is the value of 25 × 4?,100,Multiply 25 by 4 to get 100.,Quantitative
If a = 5 and b = 3  what is (a² + b²)?,34,Using formula a² + b²  we get 5² + 3² = 25 + 9 = 34.,Quantitative
Solve for x: 2x + 5 = 15.,5,Subtract 5 from both sides and divide by 2 to get x = 5.,Quantitative
What is the square root of 144?,12,The square root of 144 is 12.,Quantitative
A shopkeeper buys an article for ₹500 and sells it for ₹650. What is the profit percentage?,30%,Profit = (Selling Price - Cost Price) / Cost Price × 100.,Quantitative
A train travels 360 km in 6 hours. What is its speed?,60 km/h,Speed = Distance / Time = 360/6 = 60 km/h.,Quantitative
If 20 workers can build a wall in 15 days  how many days will 30 workers take?,10,Work is inversely proportional to the number of workers.,Quantitative
A man spends 40% of his salary and saves ₹9000. What is his salary?,₹15000,Let salary be x  then savings = 60% of x. Solve for x.,Quantitative
If the perimeter of a square is 48 cm  what is the area?,144 cm²,Side = Perimeter/4  then Area = Side².,Quantitative
What is the HCF of 18 and 24?,6,Find the highest common factor of 18 and 24.,Quantitative
A sum of ₹12000 is invested at 10% per annum simple interest for 2 years. What is the interest earned?,₹2400,Simple Interest = (P × R × T) / 100.,Quantitative
A number when doubled and increased by 10 gives 50. What is the number?,20,Solve 2x + 10 = 50 for x.,Quantitative
If a car runs at 50 km/hr  how much distance will it cover in 2.5 hours?,125 km,Distance = Speed × Time.,Quantitative
If a box contains 4 red  5 green  and 6 blue balls  what is the probability of drawing a green ball?,5/15 or 1/3,Probability = Favorable outcomes / Total outcomes.,Quantitative
If the radius of a circle is 7 cm  what is its area?,154 cm²,Area = πr² = 3.14 × 7 × 7.,Quantitative
If a man can type 300 words in 5 minutes  how many words can he type in 12 minutes?,720,Use unitary method.,Quantitative
If 3x - 7 = 14  what is x?,7,Solve for x.,Quantitative
The average of 5 numbers is 25. If one number is removed  the new average is 20. What was the removed number?,50,Use total sum formula.,Quantitative
A bike covers a distance of 240 km in 4 hours. What is its speed?,60 km/h,Speed = Distance / Time.,Quantitative
If the cost price of an article is ₹500 and the selling price is ₹750  what is the percentage profit?,50%,Profit % = (Profit / Cost Price) × 100.,Quantitative
A man can row a boat 12 km downstream in 2 hours and return in 3 hours. What is the speed of the current?,2 km/h,Use speed of boat in still water and relative speed formula.,Quantitative
If 2x + 3y = 12 and x = 2  find y.,2,Substitute x and solve for y.,Quantitative
A mixture contains 30% alcohol. If there are 600 ml in total  how much alcohol is present?,180 ml,Use percentage formula.,Quantitative
What is the compound interest on ₹5000 at 10% per annum for 2 years?,₹1050,Use Compound Interest formula.,Quantitative
If the perimeter of a rectangle is 24 cm and its length is 8 cm  find its breadth.,4 cm,Perimeter = 2(l + b)  solve for b.,Quantitative
A can complete a work in 12 days  and B in 8 days. How long will it take if they work together?,4.8 days,Work done per day = (1/A + 1/B).,Quantitative
If 45% of a number is 81  what is the number?,180,Let number be x  solve 0.45x = 81.,Quantitative
The sum of two numbers is 72  and their difference is 24. Find the numbers.,48  24,Solve equations x + y = 72 and x - y = 24.,Quantitative
If the LCM of two numbers is 60 and their HCF is 5  what is the product of the numbers?,300,LCM × HCF = Product of numbers.,Quantitative
What is the probability of rolling a sum of 7 on two dice?,6/36 or 1/6,Count favorable outcomes.,Quantitative
If a train crosses a 300 m bridge in 40 sec at 60 km/h  what is the length of the train?,100 m,Use Distance = Speed × Time.,Quantitative
If a cone has a radius of 3 cm and height 4 cm  what is its volume?,12π cm³,Volume = (1/3)πr²h.,Quantitative
If a student scores 75  80  and 85 in three subjects  what is the average?,80,Average = (Sum of values) / Number of values.,Quantitative
If 3/4 of a number is 21  what is the number?,28,Solve for x in (3/4)x = 21.,Quantitative
If an article is sold at ₹640 with a 20% discount  what was the marked price?,₹800,Marked Price = Selling Price / (1 - Discount %).,Quantitative
If a train of length 120m passes a pole in 6 seconds  what is its speed?,72 km/h,Speed = Distance / Time.,Quantitative
If a circle has a circumference of 44 cm  find its radius.,7 cm,Circumference = 2πr  solve for r.,Quantitative
If A is twice as fast as B and B takes 12 days to finish a task  how long will A take?,6 days,A’s speed is double  so time taken is half.,Quantitative
If the sum of angles in a polygon is 900°  how many sides does it have?,7,Sum of angles = (n-2) × 180°  solve for n.,Quantitative
What is 15% of 240?,36,Use percentage formula.,Quantitative
A car covers 90 km in 1.5 hours. What is its speed?,60 km/h,Speed = Distance / Time.,Quantitative
If log₂ 32 = x  what is x?,5,Use logarithm rules.,Quantitative
If a wheel rotates 100 times in a minute and its radius is 35 cm  what is the distance covered in 1 minute?,22000 cm,Use Circumference = 2πr × rotations.,Quantitative
What is the synonym of 'Ephemeral'?,Short-lived,Ephemeral means lasting for a very short time.,Verbal
What is the antonym of 'Prudent'?,Reckless,Prudent means wise  while reckless means careless.,Verbal
What is the synonym of 'Resilient'?,Strong,Resilient means able to recover quickly from difficulties.,Verbal
Choose the correct synonym for 'Relinquish',Abandon,Relinquish means to give up or surrender.,Verbal
What is the antonym of 'Opaque'?,Clear,Opaque means not transparent  while clear is the opposite.,Verbal
Identify the grammatical error: 'Neither of the students were present in class.','Neither of the students was present in class.','Neither' takes a singular verb  so 'was' is correct.,Verbal
Spot the incorrect sentence: 'He went to home early.','He went home early.','Home' does not require 'to' before it.,Verbal
Choose the grammatically correct sentence: 'She doesn’t like coffee.',She doesn’t like coffee.,Doesn't is used with 'like' correctly.,Verbal
Find the error in the sentence: 'He has went to the market.','He has gone to the market.','Has' should be followed by 'gone'  not 'went'.,Verbal
Choose the sentence with the correct usage: 'The manager is going to discuss the issue.',The manager is going to discuss the issue.,'Discuss' does not need 'about' after it.,Verbal
What does 'Hit the sack' mean?,To go to sleep,Hit the sack means to go to bed.,Verbal
What does 'A penny for your thoughts' mean?,Tell me what you are thinking,It is used to ask someone what they are thinking.,Verbal
If someone 'Bites the bullet'  they:,Face a tough situation bravely,Bite the bullet means to endure pain bravely.,Verbal
The phrase 'Under the weather' means:,Feeling sick,It means feeling unwell.,Verbal
'Break the ice' means:,Make people feel comfortable,It means to start a conversation and reduce tension.,Verbal
Improve the sentence: 'The furniture in the room are new.',The furniture in the room is new.,Furniture is an uncountable noun and takes 'is'.,Verbal
Select the correct sentence: 'I prefer coffee to tea.',I prefer coffee to tea.,'Prefer' is followed by 'to' and not 'than'.,Verbal
Identify the correct sentence: 'He is senior to me.',He is senior to me.,'Senior' is always followed by 'to'  not 'than'.,Verbal
Fill in the blank: 'One of the students in my class __ from Canada.',is,'One of' takes a singular verb.,Verbal
Choose the correct sentence: 'She is smarter than me.',She is smarter than me.,Comparative adjectives take 'than'.,Verbal
The principal will meet you __ 10 AM.,at,'At' is used for specific times.,Verbal
She is fond __ chocolates.,of,'Fond' is always followed by 'of'.,Verbal
I __ a great movie last night.,saw,'Saw' is the correct past tense of 'see'.,Verbal
The cake is made __ flour and eggs.,of,'Made of' is used for things that retain their original form.,Verbal
He __ his keys somewhere.,left,'Left' is the past tense of 'leave'.,Verbal
What is the synonym of 'placid'?,Calm,'Placid' means peaceful or calm.,Verbal
Identify the error: 'She do not know the answer.','do' should be 'does',With singular subjects  use 'does' instead of 'do'.,Verbal
What is the antonym of 'vivid'?,Dull,'Vivid' means bright  while 'dull' is the opposite.,Verbal
Choose the correct word: 'The team ___ ready for the match.',is,'Team' is considered singular  so it takes 'is'.,Verbal
What is the synonym of 'adverse'?,Unfavorable,'Adverse' means harmful or unfavorable.,Verbal
Identify the error: 'Each of the players are fit.','are' should be 'is','Each' is singular  so it takes 'is'.,Verbal
What is the antonym of 'coherent'?,Incoherent,'Coherent' means clear and logical  its opposite is 'incoherent'.,Verbal
Choose the correct form: 'She is ___ at solving puzzles.',adept,'Adept' means skilled or proficient.,Verbal
What is the synonym of 'venerate'?,Respect,'Venerate' means to regard with respect.,Verbal
Identify the error: 'The furniture are expensive.','are' should be 'is','Furniture' is uncountable and takes a singular verb.,Verbal
What is the antonym of 'amiable'?,Hostile,'Amiable' means friendly  while 'hostile' is the opposite.,Verbal
Choose the correct word: 'The ___ of the argument was lost.',gist,'Gist' means the main point or essence.,Verbal
What is the synonym of 'succinct'?,Concise,'Succinct' means expressed briefly and clearly.,Verbal
Identify the error: 'She enjoys to swim.','to swim' should be 'swimming',Use the gerund form 'swimming' after 'enjoys'.,Verbal
What is the antonym of 'benevolent'?,Malevolent,'Benevolent' means kind  while 'malevolent' means evil.,Verbal
Choose the correct form: 'The news ___ surprising.',is,'News' is uncountable and takes singular verbs.,Verbal
What is the synonym of 'elated'?,Joyful,'Elated' means extremely happy or joyful.,Verbal
Identify the error: 'Neither of the answers are correct.','are' should be 'is','Neither' takes a singular verb.,Verbal
What is the antonym of 'obscure'?,Clear,'Obscure' means unclear  while 'clear' is its opposite.,Verbal
Choose the correct word: 'She has a ___ of patience.',lot,'Lot' is used to indicate a large amount.,Verbal
What is the synonym of 'prudent'?,Cautious,'Prudent' means acting with caution.,Verbal
Identify the error: 'One of the books are missing.','are' should be 'is','One' takes a singular verb.,Verbal
What is the antonym of 'extravagant'?,Frugal,'Extravagant' means wasteful  while 'frugal' means economical.,Verbal
Choose the correct word: 'The dog ___ barking all night.',was,Past continuous tense requires 'was' with singular subjects.,Verbal
What is the synonym of 'emulate'?,Imitate,'Emulate' means to copy or imitate.,Verbal
Identify the error: 'She don't like coffee.','don't' should be 'doesn't',Use 'doesn't' with singular subjects.,Verbal
What is the antonym of 'sparse'?,Dense,'Sparse' means thinly scattered  while 'dense' means thick.,Verbal
Choose the correct form: 'The class ___ planning a trip.',is,'Class' is considered singular  so it takes 'is'.,Verbal
What is the synonym of 'arduous'?,Difficult,'Arduous' means requiring great effort.,Verbal
Identify the error: 'The people is waiting.','is' should be 'are','People' is plural and takes 'are'.,Verbal
What is the antonym of 'lofty'?,Lowly,'Lofty' means high  while 'lowly' means humble.,Verbal
Choose the correct word: 'The storm caused ___ damage.',severe,'Severe' means intense or great.,Verbal
What is the synonym of 'futile'?,Useless,'Futile' means pointless or ineffective.,Verbal
Identify the error: 'She goes to office everyday.','everyday' should be 'every day','Every day' refers to each day.,Verbal
What is the antonym of 'affluent'?,Poor,'Affluent' means wealthy  while 'poor' is the opposite.,Verbal
Choose the correct word: 'She was ___ by the news.',shocked,'Shocked' means surprised or startled.,Verbal
What is the synonym of 'pensive'?,Thoughtful,'Pensive' means deeply thoughtful.,Verbal
Identify the error: 'The children plays in the park.','plays' should be 'play',Plural subjects take plural verbs.,Verbal
What is the antonym of 'serene'?,Agitated,'Serene' means calm  while 'agitated' means disturbed.,Verbal
Choose the correct word: 'She has a ___ of kindness.',touch,'Touch' means a small amount.,Verbal
What is the synonym of 'gregarious'?,Sociable,'Gregarious' means sociable or fond of company.,Verbal
Identify the error: 'She go to the market daily.','go' should be 'goes',Use 'goes' with singular subjects in the present tense.,Verbal
What is the antonym of 'lucid'?,Confusing,'Lucid' means clear  while 'confusing' is the opposite.,Verbal
Choose the correct form: 'The jury ___ divided on the verdict.',is,'Jury' is singular and takes 'is'.,Verbal
What is the synonym of 'prodigious'?,Enormous,'Prodigious' means remarkably large.,Verbal
Identify the error: 'He do not understand the problem.','do' should be 'does',Use 'does' with singular subjects.,Verbal
What is the antonym of 'affable'?,Unfriendly,'Affable' means friendly and pleasant.,Verbal
Choose the correct word: 'The ___ of the story was missing.',essence,'Essence' means the core or main part.,Verbal
What is the synonym of 'vindicate'?,Justify,'Vindicate' means to clear from blame.,Verbal
Identify the error: 'None of them are coming.','are' should be 'is','None' is singular and takes 'is'.,Verbal
What is the antonym of 'diligent'?,Lazy,'Diligent' means hardworking  while 'lazy' is the opposite.,Verbal
Choose the correct word: 'She has a ___ of experience.',wealth,'Wealth' refers to a large amount.,Verbal
What is the synonym of 'quaint'?,Unusual,'Quaint' means attractively unusual.,Verbal
Identify the error: 'He is more smarter than her.','more smarter' should be 'smarter',Do not use double comparatives.,Verbal
Choose the correct form: 'The audience ___ clapping loudly.',is,'Audience' is singular and takes 'is'.,Verbal
What is the synonym of 'succumb'?,Yield,'Succumb' means to give in or yield.,Verbal
Identify the error: 'He doesn't knows the answer.','knows' should be 'know',Use base form after 'doesn't'.,Verbal
What is the antonym of 'ardent'?,Indifferent,'Ardent' means passionate  while 'indifferent' means apathetic.,Verbal
Choose the correct word: 'He is an ___ reader.',avid,'Avid' means enthusiastic or eager.,Verbal
What is the synonym of 'morose'?,Gloomy,'Morose' means sullen or gloomy.,Verbal
Identify the error: 'The news are surprising.','are' should be 'is','News' is singular and takes 'is'.,Verbal
What is the antonym of 'frugal'?,Extravagant,'Frugal' means economical  while 'extravagant' means wasteful.,Verbal
Choose the correct form: 'The data ___ accurate.',is,'Data' is singular in formal usage.,Verbal
What is the synonym of 'zealous'?,Passionate,'Zealous' means fervently enthusiastic.,Verbal
Identify the error: 'The scissors is on the table.','is' should be 'are','Scissors' is plural and takes 'are'.,Verbal
What is the antonym of 'lenient'?,Strict,'Lenient' means permissive  while 'strict' is its opposite.,Verbal
Choose the correct word: 'She has a ___ of wisdom.',bit,'Bit' means a small amount.,Verbal
Identify the error: 'The sheep is grazing in the field.',No error,'Sheep' can be singular or plural.,Verbal
What is the antonym of 'mirth'?,Sorrow,'Mirth' means joy  while 'sorrow' means sadness.,Verbal
Choose the correct word: 'The ___ of the problem is complex.',root,'Root' means the basic cause or origin.,Verbal
What is the synonym of 'resilient'?,Flexible,'Resilient' means able to recover quickly.,Verbal
Identify the error: 'The people is waiting for the bus.','is' should be 'are','People' is plural and takes 'are'.,Verbal
What is the antonym of 'tangible'?,Intangible,'Tangible' means touchable  while 'intangible' means not touchable.,Verbal
Choose the correct form: 'The team ___ practicing hard.',is,'Team' is singular and takes 'is'.,Verbal
What is the synonym of 'covet'?,Desire,'Covet' means to yearn for or desire.,Verbal
Identify the error: 'She did not wrote the letter.','wrote' should be 'write',Use base form after 'did'.,Verbal
What is the antonym of 'conspicuous'?,Hidden,'Conspicuous' means easily noticeable  while 'hidden' is the opposite.,Verbal
What is the synonym of 'diligent'?,Hardworking,'Diligent' means showing persistent effort.,Verbal
Identify the error: 'The boy plays well yesterday.','plays' should be 'played',Use past tense with 'yesterday'.,Verbal
Choose the correct word: 'The manager made a ___ decision.',prudent,'Prudent' means sensible or wise.,Verbal
What is the synonym of 'ephemeral'?,Short-lived,'Ephemeral' means lasting for a short time.,Verbal
Identify the error: 'The children was playing.','was' should be 'were',Use 'were' with plural subjects.,Verbal
What is the synonym of 'placate'?,Calm,'Placate' means to calm or pacify.,Verbal
